2025-03-04 01:37:39 | Power Usage: 215.61W/320.0W | Memory Usage: 21.43991206643869% | GPU Utilization: 85%
2025-03-04 01:37:39 | Power Usage: 222.93W/320.0W | Memory Usage: 21.43991206643869% | GPU Utilization: 80%
2025-03-04 01:37:39 | Power Usage: 216.09W/320.0W | Memory Usage: 21.43991206643869% | GPU Utilization: 80%
2025-03-04 01:37:40 | Power Usage: 219.89W/320.0W | Memory Usage: 21.43380556912555% | GPU Utilization: 75%
2025-03-04 01:37:40 | Power Usage: 221.86W/320.0W | Memory Usage: 21.43991206643869% | GPU Utilization: 75%
2025-03-04 01:37:40 | Power Usage: 222.0W/320.0W | Memory Usage: 21.43380556912555% | GPU Utilization: 80%
2025-03-04 01:37:40 | Power Usage: 217.07W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 73%
2025-03-04 01:37:40 | Power Usage: 218.12W/320.0W | Memory Usage: 21.500977039570103% | GPU Utilization: 73%
2025-03-04 01:37:40 | Power Usage: 217.36W/320.0W | Memory Usage: 21.500977039570103% | GPU Utilization: 84%
2025-03-04 01:37:40 | Power Usage: 226.01W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 82%
2025-03-04 01:37:40 | Power Usage: 219.17W/320.0W | Memory Usage: 21.507083536883243% | GPU Utilization: 82%
2025-03-04 01:37:41 | Power Usage: 221.73W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 72%
2025-03-04 01:37:41 | Power Usage: 223.53W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 72%
2025-03-04 01:37:41 | Power Usage: 218.35W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 77%
2025-03-04 01:37:41 | Power Usage: 218.88W/320.0W | Memory Usage: 21.507083536883243% | GPU Utilization: 82%
2025-03-04 01:37:41 | Power Usage: 217.95W/320.0W | Memory Usage: 21.51929653150953% | GPU Utilization: 82%
2025-03-04 01:37:41 | Power Usage: 213.57W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 72%
2025-03-04 01:37:41 | Power Usage: 218.05W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 78%
2025-03-04 01:37:41 | Power Usage: 212.27W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 78%
2025-03-04 01:37:42 | Power Usage: 216.88W/320.0W | Memory Usage: 21.51929653150953% | GPU Utilization: 77%
2025-03-04 01:37:42 | Power Usage: 214.82W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 76%
2025-03-04 01:37:42 | Power Usage: 216.27W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 76%
2025-03-04 01:37:42 | Power Usage: 217.13W/320.0W | Memory Usage: 21.51929653150953% | GPU Utilization: 77%
2025-03-04 01:37:42 | Power Usage: 215.98W/320.0W | Memory Usage: 21.51929653150953% | GPU Utilization: 77%
2025-03-04 01:37:42 | Power Usage: 216.4W/320.0W | Memory Usage: 21.51929653150953% | GPU Utilization: 75%
2025-03-04 01:37:42 | Power Usage: 215.68W/320.0W | Memory Usage: 21.51929653150953% | GPU Utilization: 82%
2025-03-04 01:37:42 | Power Usage: 214.74W/320.0W | Memory Usage: 21.51929653150953% | GPU Utilization: 82%
2025-03-04 01:37:43 | Power Usage: 219.57W/320.0W | Memory Usage: 21.51929653150953% | GPU Utilization: 80%
2025-03-04 01:37:43 | Power Usage: 215.19W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 80%
2025-03-04 01:37:43 | Power Usage: 215.59W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 72%
2025-03-04 01:37:43 | Power Usage: 216.33W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 72%
2025-03-04 01:37:43 | Power Usage: 215.42W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 77%
2025-03-04 01:37:43 | Power Usage: 215.78W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 84%
2025-03-04 01:37:43 | Power Usage: 217.95W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 84%
2025-03-04 01:37:43 | Power Usage: 219.46W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 74%
2025-03-04 01:37:44 | Power Usage: 222.43W/320.0W | Memory Usage: 21.513190034196388% | GPU Utilization: 74%
2025-03-04 01:37:44 | Power Usage: 218.2W/320.0W | Memory Usage: 21.562042012701514% | GPU Utilization: 78%
2025-03-04 01:37:44 | Power Usage: 217.84W/320.0W | Memory Usage: 21.555935515388374% | GPU Utilization: 72%
2025-03-04 01:37:44 | Power Usage: 222.58W/320.0W | Memory Usage: 21.568148510014655% | GPU Utilization: 72%
2025-03-04 01:37:44 | Power Usage: 216.7W/320.0W | Memory Usage: 21.568148510014655% | GPU Utilization: 80%
2025-03-04 01:37:44 | Power Usage: 220.9W/320.0W | Memory Usage: 21.568148510014655% | GPU Utilization: 80%
2025-03-04 01:37:44 | Power Usage: 218.82W/320.0W | Memory Usage: 21.568148510014655% | GPU Utilization: 86%
2025-03-04 01:37:44 | Power Usage: 222.13W/320.0W | Memory Usage: 21.568148510014655% | GPU Utilization: 76%
2025-03-04 01:37:44 | Power Usage: 216.73W/320.0W | Memory Usage: 21.568148510014655% | GPU Utilization: 76%
2025-03-04 01:37:45 | Power Usage: 223.26W/320.0W | Memory Usage: 21.568148510014655% | GPU Utilization: 82%
2025-03-04 01:37:45 | Power Usage: 219.69W/320.0W | Memory Usage: 21.568148510014655% | GPU Utilization: 78%
2025-03-04 01:37:45 | Power Usage: 222.97W/320.0W | Memory Usage: 21.568148510014655% | GPU Utilization: 78%
2025-03-04 01:37:45 | Power Usage: 220.52W/320.0W | Memory Usage: 21.568148510014655% | GPU Utilization: 82%
2025-03-04 01:37:45 | Power Usage: 224.23W/320.0W | Memory Usage: 21.562042012701514% | GPU Utilization: 82%
2025-03-04 01:37:45 | Power Usage: 223.85W/320.0W | Memory Usage: 21.562042012701514% | GPU Utilization: 80%
2025-03-04 01:37:45 | Power Usage: 225.61W/320.0W | Memory Usage: 21.549829018075233% | GPU Utilization: 83%
2025-03-04 01:37:46 | Power Usage: 227.47W/320.0W | Memory Usage: 21.549829018075233% | GPU Utilization: 78%
2025-03-04 01:37:46 | Power Usage: 226.28W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 78%
2025-03-04 01:37:46 | Power Usage: 227.87W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 82%
2025-03-04 01:37:46 | Power Usage: 227.96W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 82%
2025-03-04 01:37:46 | Power Usage: 225.81W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 77%
2025-03-04 01:37:46 | Power Usage: 222.21W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 84%
2025-03-04 01:37:46 | Power Usage: 221.34W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 84%
2025-03-04 01:37:46 | Power Usage: 218.71W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 79%
2025-03-04 01:37:47 | Power Usage: 217.2W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 81%
2025-03-04 01:37:47 | Power Usage: 216.82W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 81%
2025-03-04 01:37:47 | Power Usage: 216.67W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 81%
2025-03-04 01:37:47 | Power Usage: 216.31W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 81%
2025-03-04 01:37:47 | Power Usage: 215.23W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 79%
2025-03-04 01:37:47 | Power Usage: 216.3W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 83%
2025-03-04 01:37:47 | Power Usage: 217.64W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 74%
2025-03-04 01:37:47 | Power Usage: 218.67W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 74%
2025-03-04 01:37:48 | Power Usage: 220.12W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 80%
2025-03-04 01:37:48 | Power Usage: 217.88W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 74%
2025-03-04 01:37:48 | Power Usage: 215.37W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 74%
2025-03-04 01:37:48 | Power Usage: 217.43W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 81%
